trade_id,symbol,direction,entry_time,exit_time,duration_m,planned_entry,actual_entry,entry_spread,total_lots,partial_lots,runner_lots,tp1_hit,tp2_hit,be_hit,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,account_balance,return_pct,adx_1h,atr_1h,month,balance
1,NAS100,BUY,2026-01-02 10:00:00.057000+00:00,2026-01-02 11:10:06.745000+00:00,70.11146666666667,25481.9,25471.6,2.599999999998545,0.11,0.06,0.05,True,True,False,FULL_TP2,40.0328258109912,44.48091756776921,0.55,83.96374337876041,5083.96374337876,1.6792748675752083,18.89811712088356,44.48091756776897,2026-01,5083.96374337876
1,XAUUSD,BUY,2026-01-02 09:35:00.029000+00:00,2026-01-02 15:24:12.980000+00:00,349.21585,4379.54,4379.25,0.3900000000003274,0.03,0.02,0.01,True,False,True,TP1_THEN_BE,46.28970973716059,0.3900000000003274,0.15,46.52970973716092,5046.529709737161,0.9305941947432185,25.129525391946878,18.368932435381186,2026-01,5130.4934531159215
2,NAS100,BUY,2026-01-02 16:45:00.112000+00:00,2026-01-02 16:50:30.982000+00:00,5.5145,25586.3,25524.7,2.600000000002183,0.12,0.06,0.06,True,True,False,FULL_TP2,39.03941352560578,52.05255136747364,0.6,90.49196489307943,5174.455708271839,1.7799490606307748,22.905144082869562,43.37712613956099,2026-01,5220.985418009001
2,XAUUSD,BUY,2026-01-05 06:25:00.296000+00:00,2026-01-05 14:50:29.192000+00:00,505.4816,4404.69,4405.28,0.2899999999999636,0.03,0.02,0.01,True,False,True,TP1_THEN_BE,49.879492261352425,0.2899999999999636,0.15,50.01949226135239,5096.549201998514,0.9911661109383929,27.772810113238535,19.793449310060783,2026-01,5271.004910270353
3,NAS100,BUY,2026-01-05 15:50:00.061000+00:00,2026-01-05 16:36:00.430000+00:00,46.006150000000005,25407.9,25407.9,2.600000000002183,0.09,0.04,0.05,True,False,True,TP1_THEN_BE,35.248013897294,1.3000000000010914,0.44999999999999996,36.09801389729509,5210.553722169135,0.6976195358980293,15.555561281524472,58.74668982882248,2026-01,5307.102924167649
3,XAUUSD,BUY,2026-01-05 16:00:00.016000+00:00,2026-01-05 17:04:17.926000+00:00,64.2985,4422.18,4417.08,0.2899999999999636,0.03,0.02,0.01,True,True,False,FULL_TP2,44.81596134579377,35.212541057409,0.15,79.87850240320276,5176.427704401717,1.5673056265576704,30.00087155595782,17.78411164515591,2026-01,5386.981426570852
4,XAUUSD,BUY,2026-01-05 19:15:00.027000+00:00,2026-01-05 21:00:00.048000+00:00,105.00035,4445.15,4442.67,0.2600000000002183,0.03,0.02,0.01,False,False,False,EOD_EXIT,11.780000000000655,5.890000000000327,0.15,17.520000000000984,5193.9477044017185,0.338457349362825,29.97563844773907,18.345810234842478,2026-01,5404.501426570853
5,XAUUSD,BUY,2026-01-06 08:50:00.133000+00:00,2026-01-06 11:47:11.001000+00:00,177.18113333333335,4464.5,4463.37,0.2899999999999636,0.03,0.02,0.01,False,False,False,SL,-29.74359044556695,-14.871795222783476,0.15,-44.765385668350426,5149.182318733368,-0.8618759413078625,29.028270755210173,16.524216914204185,2026-01,5359.736040902503
4,NAS100,BUY,2026-01-06 16:25:00.105000+00:00,2026-01-06 16:50:21.405000+00:00,25.355,25479.1,25465.2,2.600000000002183,0.11,0.06,0.05,True,True,False,FULL_TP2,43.944455704852594,48.82717300539117,0.55,92.22162871024376,5302.7753508793785,1.7699007366121586,15.895623849305801,48.82717300539127,2026-01,5451.957669612747
6,XAUUSD,BUY,2026-01-06 13:30:00.287000+00:00,2026-01-06 16:55:05.920000+00:00,205.09388333333334,4460.53,4455.74,0.2899999999999636,0.03,0.02,0.01,True,True,False,FULL_TP2,42.1065194015664,33.08369381551711,0.15,75.0402132170835,5224.222531950452,1.4573229023971017,26.21303900414045,16.70893627046318,2026-01,5526.997882829831
5,NAS100,BUY,2026-01-06 19:10:00.048000+00:00,2026-01-06 21:00:00.144000+00:00,110.0016,25556.9,25553.8,2.599999999998545,0.09,0.04,0.05,True,False,False,EOD_EXIT,36.634941492605144,46.95000000000073,0.44999999999999996,83.13494149260588,5385.910292371985,1.5677628409964475,19.039669475010918,61.05823582100738,2026-01,5610.132824322437
7,XAUUSD,SELL,2026-01-07 11:40:00.269000+00:00,2026-01-07 15:10:01.645000+00:00,210.02293333333333,4461.41,4462.7,0.2600000000002183,0.03,0.02,0.01,True,True,False,FULL_TP2,43.16406275001464,33.91462073215462,0.15,76.92868348216925,5301.151215432622,1.472538411441828,24.011409930744126,17.128596329371167,2026-01,5687.061507804607
8,XAUUSD,SELL,2026-01-07 16:35:00.014000+00:00,2026-01-07 17:32:32.112000+00:00,57.53496666666667,4440.93,4449.32,0.2899999999999636,0.03,0.02,0.01,True,False,True,TP1_THEN_BE,42.52532820819033,0.2899999999999636,0.15,42.665328208190296,5343.816543640813,0.8048313748150346,25.332049911985173,16.875130241345097,2026-01,5729.726836012797
6,NAS100,BUY,2026-01-07 20:40:00.061000+00:00,2026-01-07 21:00:00.034000+00:00,19.99955,25815.7,25801.8,2.599999999998545,0.11,0.06,0.05,False,False,False,EOD_EXIT,0.4200000000004366,0.35000000000036385,0.55,0.22000000000080044,5386.130292371986,0.004084731977663728,30.58639655270391,50.676187686573236,2026-01,5729.9468360127985
